alpha,beta,rho,fitted_exponent
0.5200,0.2000,-0.7260,0.508690
0.5200,0.2000,-0.6474,0.458502
0.5200,0.2000,-0.5612,0.346929
0.5200,0.2000,-0.4684,0.237700
0.5200,0.2000,-0.3701,0.138217
0.5200,0.2000,-0.2675,0.189501
0.5200,0.2000,-0.1618,0.582864
0.5200,0.2000,-0.0541,0.721609
0.5200,0.2000,0.0541,0.274817
0.5200,0.2000,0.1618,0.338088
0.5200,0.2000,0.2675,0.401272
0.5200,0.2000,0.3701,0.446815
0.5200,0.2000,0.4684,0.476747
0.5200,0.2000,0.5612,0.499771
0.5200,0.2000,0.6474,0.518039
0.5200,0.2000,0.7260,0.532884
0.5200,0.2000,0.7961,0.545178
0.5200,0.2000,0.8569,0.555517
0.5200,0.2000,0.9076,0.564323
0.5200,0.2000,0.9477,0.571901
0.5200,0.2000,0.9766,0.578482
0.5200,0.2000,0.9941,0.584239
0.5200,0.2000,1.0000,0.589306
0.5200,0.2533,-1.0000,0.582825
0.5200,0.2533,-0.9941,0.579131
0.5200,0.2533,-0.9766,0.570498
0.5200,0.2533,-0.9477,0.560903
0.5200,0.2533,-0.9076,0.524006
0.5200,0.2533,-0.8569,0.489217
0.5200,0.2533,-0.7961,0.426580
0.5200,0.2533,-0.7260,0.336917
0.5200,0.2533,-0.6474,0.228752
0.5200,0.2533,-0.5612,0.109217
0.5200,0.2533,-0.4684,0.078835
0.5200,0.2533,-0.3701,0.192652
0.5200,0.2533,-0.2675,0.579330
0.5200,0.2533,-0.1618,0.808147
0.5200,0.2533,-0.0541,0.727619
0.5200,0.2533,0.0541,0.290587
0.5200,0.2533,0.1618,0.354710
0.5200,0.2533,0.2675,0.399947
