alpha,beta,rho,fitted_exponent
0.4133,0.3600,0.8569,0.016005
0.4133,0.3600,0.9076,0.016009
0.4133,0.3600,0.9477,0.016014
0.4133,0.3600,0.9766,0.016021
0.4133,0.3600,0.9941,0.016045
0.4133,0.3600,1.0000,0.016065
0.4133,0.4133,-1.0000,0.475167
0.4133,0.4133,-0.9941,0.470377
0.4133,0.4133,-0.9766,0.465859
0.4133,0.4133,-0.9477,0.461938
0.4133,0.4133,-0.9076,0.458072
0.4133,0.4133,-0.8569,0.454917
0.4133,0.4133,-0.7961,0.452068
0.4133,0.4133,-0.7260,0.449441
0.4133,0.4133,-0.6474,0.447526
0.4133,0.4133,-0.5612,0.445318
0.4133,0.4133,-0.4684,0.443769
0.4133,0.4133,-0.3701,0.442341
0.4133,0.4133,-0.2675,0.441756
0.4133,0.4133,-0.1618,0.441053
0.4133,0.4133,-0.0541,0.440408
0.4133,0.4133,0.0541,0.440219
0.4133,0.4133,0.1618,0.440254
0.4133,0.4133,0.2675,0.440328
0.4133,0.4133,0.3701,0.440771
0.4133,0.4133,0.4684,0.441550
0.4133,0.4133,0.5612,0.441805
0.4133,0.4133,0.6474,0.442903
0.4133,0.4133,0.7260,0.444045
0.4133,0.4133,0.7961,0.445215
0.4133,0.4133,0.8569,0.446682
0.4133,0.4133,0.9076,0.448570
0.4133,0.4133,0.9477,0.449887
0.4133,0.4133,0.9766,0.451581
0.4133,0.4133,0.9941,0.453478
0.4133,0.4133,1.0000,0.455721
0.4667,0.2000,-1.0000,0.011997
0.4667,0.2000,-0.9941,0.011691
0.4667,0.2000,-0.9766,0.011549
0.4667,0.2000,-0.9477,0.011716
0.4667,0.2000,-0.9076,0.014138
0.4667,0.2000,-0.8569,0.032106
0.4667,0.2000,-0.7961,0.119473
0.4667,0.2000,-0.7260,0.372118
0.4667,0.2000,-0.6474,0.379633
0.4667,0.2000,-0.5612,0.611812
0.4667,0.2000,-0.4684,0.711733
0.4667,0.2000,-0.3701,0.807623
0.4667,0.2000,-0.2675,0.863121
0.4667,0.2000,-0.1618,0.852054
0.4667,0.2000,-0.0541,0.756078
0.4667,0.2000,0.0541,0.183660
0.4667,0.2000,0.1618,0.219991
0.4667,0.2000,0.2675,0.107537
0.4667,0.2000,0.3701,0.071039
0.4667,0.2000,0.4684,0.098646
0.4667,0.2000,0.5612,0.029512
0.4667,0.2000,0.6474,0.029628
0.4667,0.2000,0.7260,0.028042
0.4667,0.2000,0.7961,0.027146
0.4667,0.2000,0.8569,0.025941
0.4667,0.2000,0.9076,0.023614
0.4667,0.2000,0.9477,0.022607
0.4667,0.2000,0.9766,0.021912
0.4667,0.2000,0.9941,0.023262
0.4667,0.2000,1.0000,0.020840
0.4667,0.2533,-1.0000,0.134518
0.4667,0.2533,-0.9941,0.008554
0.4667,0.2533,-0.9766,0.123098
0.4667,0.2533,-0.9477,0.356947
0.4667,0.2533,-0.9076,0.331916
0.4667,0.2533,-0.8569,0.544945
0.4667,0.2533,-0.7961,0.637560
0.4667,0.2533,-0.7260,0.760545
0.4667,0.2533,-0.6474,0.834459
0.4667,0.2533,-0.5612,0.907594
0.4667,0.2533,-0.4684,0.913657
0.4667,0.2533,-0.3701,0.920095
0.4667,0.2533,-0.2675,0.921222
0.4667,0.2533,-0.1618,0.882104
0.4667,0.2533,-0.0541,0.733659
0.4667,0.2533,0.0541,0.098917
0.4667,0.2533,0.1618,0.172867
0.4667,0.2533,0.2675,0.148830
0.4667,0.2533,0.3701,0.071476
0.4667,0.2533,0.4684,0.021528
0.4667,0.2533,0.5612,0.020478
0.4667,0.2533,0.6474,0.018696
0.4667,0.2533,0.7260,0.019778
0.4667,0.2533,0.7961,0.018844
0.4667,0.2533,0.8569,0.017758
0.4667,0.2533,0.9076,0.016917
0.4667,0.2533,0.9477,0.015718
0.4667,0.2533,0.9766,0.015737
0.4667,0.2533,0.9941,0.014323
0.4667,0.2533,1.0000,0.013312
0.4667,0.3067,-1.0000,0.433260
0.4667,0.3067,-0.9941,0.620455
0.4667,0.3067,-0.9766,0.671352
0.4667,0.3067,-0.9477,0.736125
0.4667,0.3067,-0.9076,0.867906
0.4667,0.3067,-0.8569,0.875156
0.4667,0.3067,-0.7961,0.916356
0.4667,0.3067,-0.7260,0.926419
0.4667,0.3067,-0.6474,0.941136
0.4667,0.3067,-0.5612,0.944608
0.4667,0.3067,-0.4684,0.940177
0.4667,0.3067,-0.3701,0.933892
0.4667,0.3067,-0.2675,0.912601
0.4667,0.3067,-0.1618,0.861799
0.4667,0.3067,-0.0541,0.687704
0.4667,0.3067,0.0541,0.025902
0.4667,0.3067,0.1618,0.031971
0.4667,0.3067,0.2675,0.071389
0.4667,0.3067,0.3701,0.011813
0.4667,0.3067,0.4684,0.063660
0.4667,0.3067,0.5612,0.010898
0.4667,0.3067,0.6474,0.010857
0.4667,0.3067,0.7260,0.010630
0.4667,0.3067,0.7961,0.009782
0.4667,0.3067,0.8569,0.010348
0.4667,0.3067,0.9076,0.009620
0.4667,0.3067,0.9477,0.009323
0.4667,0.3067,0.9766,0.009217
0.4667,0.3067,0.9941,0.008828
0.4667,0.3067,1.0000,0.008880
0.4667,0.3600,-1.0000,0.887989
0.4667,0.3600,-0.9941,0.914303
0.4667,0.3600,-0.9766,0.927366
0.4667,0.3600,-0.9477,0.946935
0.4667,0.3600,-0.9076,0.951459
0.4667,0.3600,-0.8569,0.960978
0.4667,0.3600,-0.7961,0.962921
0.4667,0.3600,-0.7260,0.961288
0.4667,0.3600,-0.6474,0.958227
0.4667,0.3600,-0.5612,0.951088
0.4667,0.3600,-0.4684,0.943305
0.4667,0.3600,-0.3701,0.928992
0.4667,0.3600,-0.2675,0.899736
0.4667,0.3600,-0.1618,0.843210
0.4667,0.3600,-0.0541,0.620771
0.4667,0.3600,0.0541,0.007560
0.4667,0.3600,0.1618,0.022418
0.4667,0.3600,0.2675,0.007491
0.4667,0.3600,0.3701,0.007481
0.4667,0.3600,0.4684,0.007429
0.4667,0.3600,0.5612,0.007343
0.4667,0.3600,0.6474,0.007276
0.4667,0.3600,0.7260,0.007183
0.4667,0.3600,0.7961,0.007139
0.4667,0.3600,0.8569,0.007082
0.4667,0.3600,0.9076,0.007043
0.4667,0.3600,0.9477,0.006949
0.4667,0.3600,0.9766,0.006870
0.4667,0.3600,0.9941,0.006879
0.4667,0.3600,1.0000,0.006837
0.4667,0.4133,-1.0000,0.969690
0.4667,0.4133,-0.9941,0.976232
0.4667,0.4133,-0.9766,0.978479
0.4667,0.4133,-0.9477,0.977345
0.4667,0.4133,-0.9076,0.978645
0.4667,0.4133,-0.8569,0.977709
0.4667,0.4133,-0.7961,0.976798
0.4667,0.4133,-0.7260,0.974153
0.4667,0.4133,-0.6474,0.968682
0.4667,0.4133,-0.5612,0.961013
0.4667,0.4133,-0.4684,0.951139
0.4667,0.4133,-0.3701,0.934778
0.4667,0.4133,-0.2675,0.908394
0.4667,0.4133,-0.1618,0.826875
0.4667,0.4133,-0.0541,0.452190
0.4667,0.4133,0.0541,0.007266
0.4667,0.4133,0.1618,0.007243
0.4667,0.4133,0.2675,0.007266
0.4667,0.4133,0.3701,0.007185
0.4667,0.4133,0.4684,0.007180
0.4667,0.4133,0.5612,0.007141
0.4667,0.4133,0.6474,0.007079
0.4667,0.4133,0.7260,0.007035
0.4667,0.4133,0.7961,0.006982
0.4667,0.4133,0.8569,0.006933
0.4667,0.4133,0.9076,0.006892
0.4667,0.4133,0.9477,0.006863
0.4667,0.4133,0.9766,0.006785
0.4667,0.4133,0.9941,0.006767
0.4667,0.4133,1.0000,0.006710
0.4667,0.4667,-1.0000,0.532626
0.4667,0.4667,-0.9941,0.528287
0.4667,0.4667,-0.9766,0.524729
0.4667,0.4667,-0.9477,0.520529
0.4667,0.4667,-0.9076,0.517039
0.4667,0.4667,-0.8569,0.514008
0.4667,0.4667,-0.7961,0.511604
0.4667,0.4667,-0.7260,0.509629
0.4667,0.4667,-0.6474,0.507850
0.4667,0.4667,-0.5612,0.505863
0.4667,0.4667,-0.4684,0.504594
0.4667,0.4667,-0.3701,0.503634
0.4667,0.4667,-0.2675,0.502608
0.4667,0.4667,-0.1618,0.502540
0.4667,0.4667,-0.0541,0.502167
0.4667,0.4667,0.0541,0.501916
0.4667,0.4667,0.1618,0.502048
0.4667,0.4667,0.2675,0.502449
0.4667,0.4667,0.3701,0.502591
0.4667,0.4667,0.4684,0.503561
0.4667,0.4667,0.5612,0.504313
0.4667,0.4667,0.6474,0.505267
0.4667,0.4667,0.7260,0.506581
0.4667,0.4667,0.7961,0.507907
0.4667,0.4667,0.8569,0.509472
0.4667,0.4667,0.9076,0.511193
0.4667,0.4667,0.9477,0.513419
0.4667,0.4667,0.9766,0.515175
0.4667,0.4667,0.9941,0.516760
0.4667,0.4667,1.0000,0.519178
0.5200,0.2000,-1.0000,0.019014
0.5200,0.2000,-0.9941,0.020458
0.5200,0.2000,-0.9766,0.019903
0.5200,0.2000,-0.9477,0.021112
0.5200,0.2000,-0.9076,0.021386
0.5200,0.2000,-0.8569,0.020475
0.5200,0.2000,-0.7961,0.020287
0.5200,0.2000,-0.7260,0.024885
0.5200,0.2000,-0.6474,0.083702
0.5200,0.2000,-0.5612,0.209709
0.5200,0.2000,-0.4684,0.198175
0.5200,0.2000,-0.3701,0.440214
0.5200,0.2000,-0.2675,0.643379
0.5200,0.2000,-0.1618,0.738195
0.5200,0.2000,-0.0541,0.700425
0.5200,0.2000,0.0541,0.408907
0.5200,0.2000,0.1618,0.326731
0.5200,0.2000,0.2675,0.185994
0.5200,0.2000,0.3701,0.153493
0.5200,0.2000,0.4684,0.111309
0.5200,0.2000,0.5612,0.081239
0.5200,0.2000,0.6474,0.036041
0.5200,0.2000,0.7260,0.034984
0.5200,0.2000,0.7961,0.034806
0.5200,0.2000,0.8569,0.033736
0.5200,0.2000,0.9076,0.033622
0.5200,0.2000,0.9477,0.033252
