alpha,beta,rho,fitted_exponent
0.5200,0.2000,-0.9941,0.576076
0.5200,0.2000,-0.9766,0.591456
0.5200,0.2000,-0.9477,0.608362
0.5200,0.2000,-0.9076,0.626561
0.5200,0.2000,-0.8569,0.650383
0.5200,0.2000,-0.7961,0.673502
0.5200,0.2000,-0.7260,0.697525
0.5200,0.2000,-0.6474,0.722918
0.5200,0.2000,-0.5612,0.753269
0.5200,0.2000,-0.4684,0.780404
0.5200,0.2000,-0.3701,0.805437
0.5200,0.2000,-0.2675,0.820776
0.5200,0.2000,-0.1618,0.810933
0.5200,0.2000,-0.0541,0.684212
0.5200,0.2000,0.0541,0.605528
0.5200,0.2000,0.1618,0.765977
0.5200,0.2000,0.2675,0.788036
0.5200,0.2000,0.3701,0.779824
0.5200,0.2000,0.4684,0.762281
0.5200,0.2000,0.5612,0.737395
0.5200,0.2000,0.6474,0.713259
0.5200,0.2000,0.7260,0.689039
0.5200,0.2000,0.7961,0.666919
0.5200,0.2000,0.8569,0.645467
0.5200,0.2000,0.9076,0.625275
0.5200,0.2000,0.9477,0.605534
0.5200,0.2000,0.9766,0.589435
0.5200,0.2000,0.9941,0.572107
0.5200,0.2000,1.0000,0.560106
0.5200,0.2533,-1.0000,0.550506
0.5200,0.2533,-0.9941,0.565163
0.5200,0.2533,-0.9766,0.580596
0.5200,0.2533,-0.9477,0.597807
0.5200,0.2533,-0.9076,0.616237
0.5200,0.2533,-0.8569,0.636470
0.5200,0.2533,-0.7961,0.658861
0.5200,0.2533,-0.7260,0.682660
0.5200,0.2533,-0.6474,0.706343
0.5200,0.2533,-0.5612,0.732322
0.5200,0.2533,-0.4684,0.757740
0.5200,0.2533,-0.3701,0.780298
0.5200,0.2533,-0.2675,0.788028
0.5200,0.2533,-0.1618,0.768381
0.5200,0.2533,-0.0541,0.616372
0.5200,0.2533,0.0541,0.545083
0.5200,0.2533,0.1618,0.721606
0.5200,0.2533,0.2675,0.755680
